time,open,high,low,close,volume
2020-12-16 20:00:00,127.75,127.81,127.71,127.8,3037
2020-12-16 19:59:00,127.7,127.75,127.69,127.75,16528
2020-12-16 19:58:00,127.74,127.74,127.67,127.7,9838
2020-12-16 19:57:00,127.75,127.77,127.74,127.74,2449
2020-12-16 19:56:00,127.83,127.83,127.77,127.77,2981
2020-12-16 19:55:00,127.8,127.82,127.8,127.81,3630
2020-12-16 19:53:00,127.75,127.75,127.75,127.75,330
2020-12-16 19:52:00,127.7,127.72,127.7,127.72,1291
2020-12-16 19:51:00,127.75,127.75,127.7,127.7,2110
2020-12-16 19:50:00,127.79,127.79,127.78,127.78,2743
2020-12-16 19:49:00,127.79,127.79,127.79,127.79,795
2020-12-16 19:48:00,127.84,127.84,127.8,127.8,1868
2020-12-16 19:47:00,127.83,127.83,127.83,127.83,605
2020-12-16 19:46:00,127.84,127.84,127.84,127.84,714
2020-12-16 19:45:00,127.82,127.82,127.82,127.82,510
2020-12-16 19:44:00,127.79,127.82,127.79,127.82,1208
2020-12-16 19:43:00,127.75,127.75,127.75,127.75,604
2020-12-16 19:42:00,127.75,127.75,127.75,127.75,1927
2020-12-16 19:41:00,127.75,127.75,127.75,127.75,3441
2020-12-16 19:40:00,127.79,127.8,127.79,127.79,1170
2020-12-16 19:39:00,127.76,127.76,127.76,127.76,268
2020-12-16 19:38:00,127.8,127.8,127.8,127.8,1096
2020-12-16 19:37:00,127.8,127.8,127.8,127.8,1022
2020-12-16 19:36:00,127.8,127.8,127.75,127.79,1549
2020-12-16 19:35:00,127.8,127.8,127.8,127.8,330
2020-12-16 19:34:00,127.8,127.8,127.8,127.8,326
2020-12-16 19:33:00,127.8,127.8,127.8,127.8,922
2020-12-16 19:32:00,127.76,127.78,127.76,127.78,560
2020-12-16 19:31:00,127.72,127.72,127.72,127.72,3958
2020-12-16 19:30:00,127.69,127.69,127.69,127.69,771
2020-12-16 19:29:00,127.68,127.68,127.67,127.68,988
2020-12-16 19:28:00,127.69,127.69,127.67,127.67,1223
2020-12-16 19:26:00,127.71,127.71,127.68,127.71,2015
2020-12-16 19:25:00,127.71,127.71,127.71,127.71,1070
2020-12-16 19:24:00,127.7,127.7,127.7,127.7,310
2020-12-16 19:22:00,127.68,127.71,127.68,127.71,1492
2020-12-16 19:21:00,127.7,127.7,127.7,127.7,327
2020-12-16 19:20:00,127.7,127.7,127.7,127.7,929
2020-12-16 19:18:00,127.69,127.69,127.69,127.69,250
2020-12-16 19:17:00,127.67,127.68,127.65,127.68,1110
2020-12-16 19:16:00,127.68,127.68,127.66,127.66,641
2020-12-16 19:15:00,127.67,127.67,127.67,127.67,604
2020-12-16 19:14:00,127.7,127.7,127.67,127.7,2135
2020-12-16 19:13:00,127.71,127.71,127.7,127.7,1142
2020-12-16 19:11:00,127.72,127.72,127.71,127.72,768
2020-12-16 19:10:00,127.77,127.77,127.75,127.75,1885
2020-12-16 19:09:00,127.8,127.8,127.78,127.78,1931
